# {"time_iso8601_last_update_rki": "2021-08-16T17:00:00+0000", "time_iso8601_last_update_rl": "2021-08-17T08:00:00+0000"}
ags,county_name,state,population,rl_cases_total,rl_cases_7di,rl_deaths_total,rki_cases_total,rki_cases_7di,rki_deaths_total
9778,LK Unterallgäu,Bayern,145341,7382,22.02,169,7380,17.89,169
9779,LK Donau-Ries,Bayern,133783,6117,24.67,165,6110,25.41,165
9780,LK Oberallgäu,Bayern,156008,6078,23.08,92,6080,26.28,90
10041,LK Stadtverband Saarbrücken,Saarland,328714,16460,57.19,475,16405,57.50,466
10042,LK Merzig-Wadern,Saarland,103243,3576,38.74,61,3642,38.74,61
10043,LK Neunkirchen,Saarland,131408,5589,34.24,119,5637,37.29,126
10044,LK Saarlouis,Saarland,194319,8854,49.92,151,8854,49.92,151
10045,LK Saar-Pfalz-Kreis,Saarland,142196,5084,28.83,115,5051,29.54,113
10046,LK Sankt Wendel,Saarland,87007,3313,6.90,113,3313,6.90,113
11000,Berlin,Berlin,3669491,186531,63.52,3587,187128,65.27,3587
11001,SK Berlin Mitte,Berlin,380917,,,,23445,78.76,303
11002,SK Berlin Friedrichshain-Kreuzberg,Berlin,290083,,,,15510,73.08,170
11003,SK Berlin Pankow,Berlin,409454,,,,15804,48.11,221
11004,SK Berlin Charlottenburg-Wilmersdorf,Berlin,342950,,,,16097,73.19,302
11005,SK Berlin Spandau,Berlin,244458,,,,14390,91.22,258
11006,SK Berlin Steglitz-Zehlendorf,Berlin,308582,,,,13146,36.62,420
11007,SK Berlin Tempelhof-Schöneberg,Berlin,351062,,,,18286,63.81,479
11008,SK Berlin Neukölln,Berlin,328666,,,,21898,103.14,416
11009,SK Berlin Treptow-Köpenick,Berlin,273817,,,,10149,26.29,216
11010,SK Berlin Marzahn-Hellersdorf,Berlin,271311,,,,11381,50.13,248
11011,SK Berlin Lichtenberg,Berlin,294937,,,,12559,47.13,256
11012,SK Berlin Reinickendorf,Berlin,266219,,,,14463,70.99,298
12051,SK Brandenburg a.d.Havel,Brandenburg,72184,2361,6.93,89,2348,6.93,89
12052,SK Cottbus,Brandenburg,99678,6066,58.19,206,6059,58.19,206
12053,SK Frankfurt (Oder),Brandenburg,57751,2294,10.39,113,2298,15.58,113
12054,SK Potsdam,Brandenburg,180334,7406,32.72,244,7271,34.94,244
12060,LK Barnim,Brandenburg,185244,6189,16.19,225,6193,16.19,225
12061,LK Dahme-Spreewald,Brandenburg,170791,7192,16.39,253,7197,18.74,253
12062,LK Elbe-Elster,Brandenburg,101827,7193,3.93,247,7193,3.93,247
12063,LK Havelland,Brandenburg,162996,6389,31.90,182,6400,38.04,182
12064,LK Märkisch-Oderland,Brandenburg,195751,7052,14.30,276,7054,13.28,277
12065,LK Oberhavel,Brandenburg,212914,8507,27.24,307,8518,25.83,307
12066,LK Oberspreewald-Lausitz,Brandenburg,109371,7234,18.29,261,7234,14.63,261
12067,LK Oder-Spree,Brandenburg,178803,8362,16.22,313,8306,15.10,313
12068,LK Ostprignitz-Ruppin,Brandenburg,98861,4339,20.23,174,4187,18.21,155
12069,LK Potsdam-Mittelmark,Brandenburg,216566,7995,21.24,208,8005,19.39,208
12070,LK Prignitz,Brandenburg,76158,3288,19.70,164,3288,19.70,164
12071,LK Spree-Neiße,Brandenburg,113720,7680,8.79,200,7680,8.79,200
12072,LK Teltow-Fläming,Brandenburg,169997,7013,24.71,209,7014,23.53,209
12073,LK Uckermark,Brandenburg,118947,3953,9.25,166,3953,8.41,166
13003,SK Rostock,Mecklenburg-Vorpommern,209191,3379,57.36,44,3377,56.41,44
13004,SK Schwerin,Mecklenburg-Vorpommern,95653,2808,41.82,109,2808,41.82,109
13071,LK Mecklenburgische Seenplatte,Mecklenburg-Vorpommern,258074,8810,6.97,162,8809,6.97,162
13072,LK Rostock,Mecklenburg-Vorpommern,215794,4606,17.61,151,4606,17.15,151
13073,LK Vorpommern-Rügen,Mecklenburg-Vorpommern,224702,3966,15.13,79,3966,14.24,79
13074,LK Nordwestmecklenburg,Mecklenburg-Vorpommern,157322,3985,19.70,86,3988,20.34,86
13075,LK Vorpommern-Greifswald,Mecklenburg-Vorpommern,235623,10132,22.07,287,10132,22.07,287
13076,LK Ludwigslust-Parchim,Mecklenburg-Vorpommern,211779,7487,39.66,266,7486,39.19,266
14511,SK Chemnitz,Sachsen,246334,17128,12.99,546,17126,10.96,546
14521,LK Erzgebirgskreis,Sachsen,334948,32052,7.76,907,32049,7.17,907
14522,LK Mittelsachsen,Sachsen,304099,24394,9.87,712,24395,9.87,703
14523,LK Vogtlandkreis,Sachsen,225997,18864,7.96,868,18863,7.52,841
14524,LK Zwickau,Sachsen,315002,26815,10.79,1086,26872,11.11,1054
14612,SK Dresden,Sachsen,556780,31081,20.47,1111,31044,16.16,1111
14625,LK Bautzen,Sachsen,299758,27744,18.35,944,27539,6.34,940
14626,LK Görlitz,Sachsen,252725,20481,8.31,1160,20483,6.73,1161
14627,LK Meißen,Sachsen,241717,17295,6.21,603,17267,5.79,603
14628,LK Sächsische Schweiz-Osterzgebirge,Sachsen,245586,20922,15.88,987,20692,11.81,981
14713,SK Leipzig,Sachsen,593145,22868,17.03,540,22825,16.86,536
14729,LK Leipzig,Sachsen,258139,14945,37.19,359,14892,28.28,359
14730,LK Nordsachsen,Sachsen,197741,13567,14.16,408,13560,11.63,408
15001,SK Dessau-Roßlau,Sachsen-Anhalt,80103,3317,8.74,123,3314,7.49,123
15002,SK Halle,Sachsen-Anhalt,238762,11881,20.52,355,11831,20.10,353
15003,SK Magdeburg,Sachsen-Anhalt,237565,6792,11.37,161,6792,11.37,161
15081,LK Altmarkkreis Salzwedel,Sachsen-Anhalt,83173,2541,20.44,80,2541,19.24,80
15082,LK Anhalt-Bitterfeld,Sachsen-Anhalt,158486,6821,11.36,183,6783,12.62,183
15083,LK Börde,Sachsen-Anhalt,170923,6138,9.95,140,6138,9.95,140
15084,LK Burgenlandkreis,Sachsen-Anhalt,178846,13193,3.35,600,13220,5.59,597
15085,LK Harz,Sachsen-Anhalt,213310,8845,7.50,280,8844,7.50,280
15086,LK Jerichower Land,Sachsen-Anhalt,89589,3392,6.70,158,3392,6.70,158
15087,LK Mansfeld-Südharz,Sachsen-Anhalt,134942,6431,11.86,225,6429,11.12,225
15088,LK Saalekreis,Sachsen-Anhalt,183815,10234,10.88,359,10235,10.88,355
15089,LK Salzlandkreis,Sachsen-Anhalt,189125,8936,5.82,371,8936,6.35,323
15090,LK Stendal,Sachsen-Anhalt,111190,4873,19.79,206,4835,19.79,194
15091,LK Wittenberg,Sachsen-Anhalt,124953,6712,7.20,299,6712,4.80,299
16051,SK Erfurt,Thüringen,213981,8694,12.15,273,8707,14.49,273
16052,SK Gera,Thüringen,93125,5754,18.26,205,5763,25.77,205
16053,SK Jena,Thüringen,111343,4366,10.78,84,4367,11.68,84
16054,SK Suhl,Thüringen,36789,2185,2.72,113,2185,2.72,113
16055,SK Weimar,Thüringen,65228,2630,6.13,103,2630,1.53,103
16056,SK Eisenach,Thüringen,42250,1972,14.20,78,1973,16.57,78
16061,LK Eichsfeld,Thüringen,100006,6279,6.00,253,6279,4.00,250
16062,LK Nordhausen,Thüringen,83416,2976,7.19,70,2950,7.19,70
16063,LK Wartburgkreis,Thüringen,118974,8333,7.56,250,8334,8.41,250
16064,LK Unstrut-Hainich-Kreis,Thüringen,102232,6434,3.91,264,6434,3.91,264
16065,LK Kyffhäuserkreis,Thüringen,74212,3689,2.69,145,3689,2.69,145
16066,LK Schmalkalden-Meiningen,Thüringen,124916,10078,9.61,371,10078,8.01,371
16067,LK Gotha,Thüringen,134908,9270,10.38,250,8723,9.64,205
16068,LK Sömmerda,Thüringen,69427,4176,7.20,136,4179,10.08,136
16069,LK Hildburghausen,Thüringen,63197,5434,9.49,249,5434,6.33,249
16070,LK Ilm-Kreis,Thüringen,106249,6544,15.06,218,6544,15.06,218
16071,LK Weimarer Land,Thüringen,82156,4160,0.00,83,4120,0.00,78
16072,LK Sonneberg,Thüringen,57717,4264,3.47,164,4264,0.00,164
16073,LK Saalfeld-Rudolstadt,Thüringen,103199,6795,2.91,288,6796,3.88,288
16074,LK Saale-Holzland-Kreis,Thüringen,82950,4785,6.03,128,4772,6.03,128
16075,LK Saale-Orla-Kreis,Thüringen,80312,6516,7.47,185,6516,3.74,185
16076,LK Greiz,Thüringen,97398,7914,3.08,238,7895,5.13,240
16077,LK Altenburger Land,Thüringen,89393,6962,16.78,293,6964,13.42,293
