# {"time_iso8601_last_update_rki": "2021-08-16T17:00:00+0000", "time_iso8601_last_update_rl": "2021-08-17T08:00:00+0000"}
ags,county_name,state,population,rl_cases_total,rl_cases_7di,rl_deaths_total,rki_cases_total,rki_cases_7di,rki_deaths_total
5124,SK Wuppertal,Nordrhein-Westfalen,355100,20990,99.41,491,20987,98.85,491
5154,LK Kleve,Nordrhein-Westfalen,312465,11745,27.20,191,11750,22.72,191
5158,LK Mettmann,Nordrhein-Westfalen,485570,25067,62.19,765,25106,62.81,765
5162,LK Rhein-Kreis Neuss,Nordrhein-Westfalen,451730,19018,55.12,356,19017,50.03,356
5166,LK Viersen,Nordrhein-Westfalen,298863,11988,40.15,309,11993,40.49,309
5170,LK Wesel,Nordrhein-Westfalen,459976,18283,35.44,311,18256,32.18,311
5314,SK Bonn,Nordrhein-Westfalen,329673,15271,96.46,255,15301,91.61,255
5315,SK Köln,Nordrhein-Westfalen,1087863,56147,85.86,731,56203,79.05,731
5316,SK Leverkusen,Nordrhein-Westfalen,163729,8311,75.12,102,8338,78.18,102
5334,StadtRegion Aachen,Nordrhein-Westfalen,557026,27620,62.12,591,27643,59.06,592
5358,LK Düren,Nordrhein-Westfalen,264638,14020,49.88,289,14060,55.93,289
5362,LK Rhein-Erft-Kreis,Nordrhein-Westfalen,470615,20975,66.72,408,20975,66.51,408
5366,LK Euskirchen,Nordrhein-Westfalen,193656,8202,57.32,241,8199,53.70,241
5370,LK Heinsberg,Nordrhein-Westfalen,255555,12410,79.83,427,12087,93.13,380
5374,LK Oberbergischer Kreis,Nordrhein-Westfalen,272057,15024,77.56,253,15055,72.78,253
5378,LK Rheinisch-Bergischer Kreis,Nordrhein-Westfalen,283271,11678,67.43,180,11705,53.66,180
5382,LK Rhein-Sieg-Kreis,Nordrhein-Westfalen,600764,24206,50.27,553,24195,48.11,553
5512,SK Bottrop,Nordrhein-Westfalen,117565,5524,43.38,113,5528,30.62,113
5513,SK Gelsenkirchen,Nordrhein-Westfalen,259645,15889,57.39,415,15936,56.23,415
5515,SK Münster,Nordrhein-Westfalen,315293,8618,39.65,122,8618,35.52,122
5554,LK Borken,Nordrhein-Westfalen,371339,14459,50.36,264,14471,51.97,264
5558,LK Coesfeld,Nordrhein-Westfalen,220586,5783,26.75,102,5782,25.84,98
5562,LK Recklinghausen,Nordrhein-Westfalen,614137,32460,39.89,986,32448,37.13,987
5566,LK Steinfurt,Nordrhein-Westfalen,448220,17624,45.96,331,17610,43.06,331
5570,LK Warendorf,Nordrhein-Westfalen,277840,12001,37.79,250,12017,40.67,250
5711,SK Bielefeld,Nordrhein-Westfalen,334195,16372,74.51,348,16396,73.31,348
5754,LK Gütersloh,Nordrhein-Westfalen,364938,20629,55.90,320,20664,58.91,320
5758,LK Herford,Nordrhein-Westfalen,250578,11538,63.45,184,11561,67.44,184
5762,LK Höxter,Nordrhein-Westfalen,140251,5236,25.67,141,5237,24.24,141
5766,LK Lippe,Nordrhein-Westfalen,347514,17685,55.83,396,17725,65.03,396
5770,LK Minden-Lübbecke,Nordrhein-Westfalen,310409,15474,57.34,263,15474,57.67,263
5774,LK Paderborn,Nordrhein-Westfalen,307839,11107,62.05,159,11013,62.70,159
5911,SK Bochum,Nordrhein-Westfalen,365587,16828,74.13,245,16853,71.94,245
5913,SK Dortmund,Nordrhein-Westfalen,588250,29249,71.74,395,29252,71.57,395
5914,SK Hagen,Nordrhein-Westfalen,188686,12834,62.01,325,12826,54.59,325
5915,SK Hamm,Nordrhein-Westfalen,179916,10694,78.93,199,10684,65.59,199
5916,SK Herne,Nordrhein-Westfalen,156449,9746,65.84,270,9756,58.17,270
5954,LK Ennepe-Ruhr-Kreis,Nordrhein-Westfalen,324106,13779,35.17,367,13801,34.87,369
5958,LK Hochsauerlandkreis,Nordrhein-Westfalen,259777,10158,33.49,202,10165,35.80,202
5962,LK Märkischer Kreis,Nordrhein-Westfalen,410222,21540,68.01,415,21554,69.96,415
5966,LK Olpe,Nordrhein-Westfalen,133955,5993,44.79,165,5993,44.79,165
5970,LK Siegen-Wittgenstein,Nordrhein-Westfalen,276944,12085,62.47,179,12103,61.75,179
5974,LK Soest,Nordrhein-Westfalen,301785,9061,32.80,190,9061,30.15,190
5978,LK Unna,Nordrhein-Westfalen,394891,19380,28.62,492,19307,29.88,492
6411,SK Darmstadt,Hessen,159878,6121,50.04,152,6130,48.79,152
6412,SK Frankfurt am Main,Hessen,763380,41112,51.74,818,41154,53.58,819
6413,SK Offenbach,Hessen,130280,9522,82.90,186,9531,75.99,185
6414,SK Wiesbaden,Hessen,278474,13572,50.99,280,13578,51.35,280
6431,LK Bergstraße,Hessen,270340,11474,39.95,329,11474,39.95,329
6432,LK Darmstadt-Dieburg,Hessen,297844,11432,26.19,313,11360,30.89,311
6433,LK Groß-Gerau,Hessen,275726,14720,38.08,303,14732,34.82,303
6434,LK Hochtaunuskreis,Hessen,236914,8559,21.53,214,8561,22.79,214
6435,LK Main-Kinzig-Kreis,Hessen,420552,22995,30.20,634,23025,31.63,634
6436,LK Main-Taunus-Kreis,Hessen,238558,9627,45.27,216,9485,45.69,214
6437,LK Odenwaldkreis,Hessen,96703,4542,36.19,172,4542,29.99,172
6438,LK Offenbach,Hessen,355813,18889,53.96,554,18912,57.33,554
6439,LK Rheingau-Taunus-Kreis,Hessen,187160,7456,26.72,191,7457,29.39,188
6440,LK Wetteraukreis,Hessen,308339,13487,28.22,570,13493,25.95,538
6531,LK Gießen,Hessen,270688,14273,42.48,367,14300,32.88,362
6532,LK Lahn-Dill-Kreis,Hessen,253319,12501,25.66,225,12502,25.66,220
6533,LK Limburg-Weilburg,Hessen,171912,9389,26.18,285,9390,25.01,283
6534,LK Marburg-Biedenkopf,Hessen,247084,11110,28.33,285,11198,23.47,284
6535,LK Vogelsbergkreis,Hessen,105643,4102,11.36,107,4110,15.15,107
6611,SK Kassel,Hessen,202137,8676,28.20,201,8677,31.17,201
6631,LK Fulda,Hessen,223145,13627,40.33,279,13627,40.78,279
6632,LK Hersfeld-Rotenburg,Hessen,120719,6206,39.76,189,6218,33.96,189
6633,LK Kassel,Hessen,236764,8428,27.45,230,8434,29.99,230
6634,LK Schwalm-Eder-Kreis,Hessen,179673,6852,18.92,246,6835,17.25,244
6635,LK Waldeck-Frankenberg,Hessen,156406,6451,19.18,160,6451,17.90,155
6636,LK Werra-Meißner-Kreis,Hessen,100629,3736,3.97,160,3726,3.97,160
7111,SK Koblenz,Rheinland-Pfalz,114052,4656,49.98,154,4651,48.22,154
7131,LK Ahrweiler,Rheinland-Pfalz,130086,4667,17.68,53,4623,17.68,53
7132,LK Altenkirchen,Rheinland-Pfalz,128805,5038,42.70,101,5036,41.15,101
7133,LK Bad Kreuznach,Rheinland-Pfalz,158345,6213,35.37,142,6212,35.37,142
7134,LK Birkenfeld,Rheinland-Pfalz,80951,3510,42.00,92,3510,37.06,92
7135,LK Cochem-Zell,Rheinland-Pfalz,61375,2013,19.55,61,2015,19.55,61
7137,LK Mayen-Koblenz,Rheinland-Pfalz,214434,7608,39.17,177,7585,38.24,177
7138,LK Neuwied,Rheinland-Pfalz,182811,8451,35.56,196,8434,35.56,194
7140,LK Rhein-Hunsrück-Kreis,Rheinland-Pfalz,103163,3848,17.45,103,3849,17.45,103
7141,LK Rhein-Lahn-Kreis,Rheinland-Pfalz,122297,4148,22.90,98,4155,26.17,98
7143,LK Westerwaldkreis,Rheinland-Pfalz,201904,7620,41.60,156,7598,40.61,156
7211,SK Trier,Rheinland-Pfalz,111528,2942,35.87,30,2945,34.97,30
7231,LK Bernkastel-Wittlich,Rheinland-Pfalz,112483,3182,40.01,62,3182,40.01,62
7232,LK Bitburg-Prüm,Rheinland-Pfalz,99058,3476,32.30,31,3477,13.12,31
7233,LK Vulkaneifel,Rheinland-Pfalz,60646,2127,24.73,61,2128,24.73,61
7235,LK Trier-Saarburg,Rheinland-Pfalz,149398,4581,16.73,94,4579,16.73,95
7311,SK Frankenthal,Rheinland-Pfalz,48762,2247,88.18,53,2247,82.03,53
7312,SK Kaiserslautern,Rheinland-Pfalz,100030,3838,37.99,113,3902,30.99,116
7313,SK Landau i.d.Pfalz,Rheinland-Pfalz,46881,1726,27.73,38,1721,25.60,35
7314,SK Ludwigshafen,Rheinland-Pfalz,172253,10882,66.76,336,10882,58.05,336
7315,SK Mainz,Rheinland-Pfalz,218578,10505,43.01,209,10485,41.18,210
7316,SK Neustadt a.d.Weinstraße,Rheinland-Pfalz,53264,1769,33.79,38,1732,30.04,38
7317,SK Pirmasens,Rheinland-Pfalz,40231,1426,7.46,53,1425,7.46,54
7318,SK Speyer,Rheinland-Pfalz,50561,2925,53.40,85,2925,53.40,85
7319,SK Worms,Rheinland-Pfalz,83542,4336,56.26,94,4336,56.26,94
7320,SK Zweibrücken,Rheinland-Pfalz,34193,889,46.79,9,888,38.02,9
7331,LK Alzey-Worms,Rheinland-Pfalz,129687,5197,40.87,124,5196,40.87,124
7332,LK Bad Dürkheim,Rheinland-Pfalz,132671,4557,27.89,150,4562,24.87,150
7333,LK Donnersbergkreis,Rheinland-Pfalz,75325,2658,31.86,73,2659,29.21,73
7334,LK Germersheim,Rheinland-Pfalz,129013,5765,58.91,126,5766,58.91,126
7335,LK Kaiserslautern,Rheinland-Pfalz,105979,4204,48.12,81,4064,46.24,83
7336,LK Kusel,Rheinland-Pfalz,70219,2259,21.36,68,2259,19.94,68
7337,LK Südliche Weinstraße,Rheinland-Pfalz,110521,3809,17.19,119,3813,17.19,118
7338,LK Rhein-Pfalz-Kreis,Rheinland-Pfalz,154609,6857,20.05,230,6858,15.52,230
7339,LK Mainz-Bingen,Rheinland-Pfalz,211417,7675,19.39,220,7640,13.24,219
7340,LK Südwestpfalz,Rheinland-Pfalz,94831,2670,7.38,86,2670,7.38,85
8111,SK Stuttgart,Baden-Württemberg,635911,30710,36.33,490,30612,36.01,490
8115,LK Böblingen,Baden-Württemberg,392807,17326,19.60,259,17326,19.86,275
8116,LK Esslingen,Baden-Württemberg,535024,27398,38.88,556,26842,34.95,556
8117,LK Göppingen,Baden-Württemberg,258145,13190,30.22,240,13145,26.34,243
8118,LK Ludwigsburg,Baden-Württemberg,545423,27421,31.54,519,27419,26.77,519
8119,LK Rems-Murr-Kreis,Baden-Württemberg,427248,20693,27.62,360,20687,24.58,360
8121,SK Heilbronn,Baden-Württemberg,126592,8991,38.71,137,8992,37.13,137
8125,LK Heilbronn,Baden-Württemberg,344456,16343,34.84,203,16342,33.68,203
8126,LK Hohenlohekreis,Baden-Württemberg,112655,6061,27.52,137,5801,25.74,127
8127,LK Schwäbisch Hall,Baden-Württemberg,196761,11765,17.28,261,11566,17.28,261
8128,LK Main-Tauber-Kreis,Baden-Württemberg,132399,5316,40.03,90,5316,40.03,90
8135,LK Heidenheim,Baden-Württemberg,132777,6292,27.87,161,6295,27.87,161
8136,LK Ostalbkreis,Baden-Württemberg,314025,16032,34.07,410,15899,32.16,410
8211,SK Baden-Baden,Baden-Württemberg,55185,2168,41.68,68,2176,34.43,65
8212,SK Karlsruhe,Baden-Württemberg,312060,11171,32.69,222,11158,36.85,222
8215,LK Karlsruhe,Baden-Württemberg,445101,19047,26.06,479,18936,23.59,479
8216,LK Rastatt,Baden-Württemberg,231420,10198,25.06,201,10188,23.77,196
8221,SK Heidelberg,Baden-Württemberg,161485,5368,30.96,67,5322,30.96,65
8222,SK Mannheim,Baden-Württemberg,310658,16817,53.11,306,16843,54.40,305
8225,LK Neckar-Odenwald-Kreis,Baden-Württemberg,143633,6424,26.46,142,6420,25.06,142
8226,LK Rhein-Neckar-Kreis,Baden-Württemberg,548355,23088,38.11,444,23166,39.94,440
8231,SK Pforzheim,Baden-Württemberg,125957,7872,46.84,199,7862,38.11,199
8235,LK Calw,Baden-Württemberg,159201,8392,20.10,183,8393,19.47,183
8236,LK Enzkreis,Baden-Württemberg,199556,9831,21.05,263,9814,20.55,263
8237,LK Freudenstadt,Baden-Württemberg,118243,5544,31.29,161,5443,29.60,159
8311,SK Freiburg i.Breisgau,Baden-Württemberg,231195,7899,30.28,170,7779,25.52,164
8315,LK Breisgau-Hochschwarzwald,Baden-Württemberg,263601,8949,39.83,198,8803,39.45,192
8316,LK Emmendingen,Baden-Württemberg,166408,6276,13.22,158,6277,12.62,158
8317,LK Ortenaukreis,Baden-Württemberg,430953,19538,28.08,575,19533,25.99,575
8325,LK Rottweil,Baden-Württemberg,139878,7872,35.03,163,7871,29.31,163
8326,LK Schwarzwald-Baar-Kreis,Baden-Württemberg,212506,10167,33.88,214,10176,32.47,214
8327,LK Tuttlingen,Baden-Württemberg,140766,7773,22.02,159,7774,22.02,157
